search_volume,date
0,2021.01.01
2,2021.01.02
5,2021.01.03
8,2021.01.04
10600,2021.01.05
7,2021.01.06
10600,2021.01.07
10600,2021.01.08
7,2021.01.09
7,2021.01.10
10,2021.01.11
10600,2021.01.12
10600,2021.01.13
8,2021.01.14
8,2021.01.15
4,2021.01.16
6,2021.01.17
10600,2021.01.18
10600,2021.01.19
10600,2021.01.20
0,2021.01.21
0,2021.01.22
4,2021.01.23
6,2021.01.24
11400,2021.01.25
11300,2021.01.26
11300,2021.01.27
10700,2021.01.28
10600,2021.01.29
7,2021.01.30
5,2021.01.31
10600,2021.02.01
10600,2021.02.02
8,2021.02.03
10600,2021.02.04
10600,2021.02.05
5,2021.02.06
5,2021.02.07
21900,2021.02.08
11400,2021.02.09
11400,2021.02.10
10,2021.02.11
11700,2021.02.12
3,2021.02.13
9,2021.02.14
11400,2021.02.15
8,2021.02.16
11700,2021.02.17
11700,2021.02.18
9,2021.02.19
2,2021.02.20
5,2021.02.21
5,2021.02.22
11400,2021.02.23
9,2021.02.24
11400,2021.02.25
11400,2021.02.26
4,2021.02.27
6,2021.02.28
10,2021.03.01
11700,2021.03.02
11700,2021.03.03
11700,2021.03.04
11700,2021.03.05
6,2021.03.06
11700,2021.03.07
9,2021.03.08
10,2021.03.09
7,2021.03.10
11700,2021.03.11
11700,2021.03.12
5,2021.03.13
6,2021.03.14
11700,2021.03.15
11700,2021.03.16
11700,2021.03.17
9,2021.03.18
10,2021.03.19
3,2021.03.20
7,2021.03.21
23500,2021.03.22
12200,2021.03.23
12200,2021.03.24
12200,2021.03.25
12200,2021.03.26
7,2021.03.27
12200,2021.03.28
12200,2021.03.29
12200,2021.03.30
10,2021.03.31
12200,2021.04.01
10,2021.04.02
8,2021.04.03
5,2021.04.04
10,2021.04.05
12300,2021.04.06
6,2021.04.07
7,2021.04.08
9,2021.04.09
6,2021.04.10
3,2021.04.11
12200,2021.04.12
12200,2021.04.13
12200,2021.04.14
12200,2021.04.15
12200,2021.04.16
5,2021.04.17
8,2021.04.18
12200,2021.04.19
7,2021.04.20
9,2021.04.21
12200,2021.04.22
12200,2021.04.23
5,2021.04.24
2,2021.04.25
6,2021.04.26
10,2021.04.27
8,2021.04.28
10,2021.04.29
12200,2021.04.30
7,2021.05.01
1,2021.05.02
5,2021.05.03
7,2021.05.04
9,2021.05.05
0,2021.05.06
0,2021.05.07
7,2021.05.08
9,2021.05.09
12100,2021.05.10
12100,2021.05.11
0,2021.05.12
9,2021.05.13
8,2021.05.14
7,2021.05.15
3,2021.05.16
10,2021.05.17
12100,2021.05.18
9,2021.05.19
12100,2021.05.20
9,2021.05.21
4,2021.05.22
2,2021.05.23
8,2021.05.24
12400,2021.05.25
12100,2021.05.26
12100,2021.05.27
12100,2021.05.28
5,2021.05.29
6,2021.05.30
10,2021.05.31
12100,2021.06.01
5,2021.06.02
7,2021.06.03
7,2021.06.04
4,2021.06.05
7,2021.06.06
12100,2021.06.07
7,2021.06.08
0,2021.06.09
12100,2021.06.10
10,2021.06.11
7,2021.06.12
0,2021.06.13
0,2021.06.14
5,2021.06.15
11800,2021.06.16
11800,2021.06.17
6,2021.06.18
3,2021.06.19
2,2021.06.20
12200,2021.06.21
11800,2021.06.22
11800,2021.06.23
11800,2021.06.24
11800,2021.06.25
11800,2021.06.26
8,2021.06.27
9,2021.06.28
12000,2021.06.29
12000,2021.06.30
9,2021.07.01
8,2021.07.02
5,2021.07.03
3,2021.07.04
6,2021.07.05
6,2021.07.06
11800,2021.07.07
12000,2021.07.08
4,2021.07.09
0,2021.07.10
6,2021.07.11
10,2021.07.12
11800,2021.07.13
11800,2021.07.14
11800,2021.07.15
11800,2021.07.16
6,2021.07.17
5,2021.07.18
11800,2021.07.19
11800,2021.07.20
11800,2021.07.21
9,2021.07.22
9,2021.07.23
4,2021.07.24
1,2021.07.25
2,2021.07.26
6,2021.07.27
8,2021.07.28
0,2021.07.29
9,2021.07.30
3,2021.07.31
8,2021.08.01
0,2021.08.02
5,2021.08.03
5,2021.08.04
4,2021.08.05
5,2021.08.06
1,2021.08.07
2,2021.08.08
13300,2021.08.09
0,2021.08.10
13300,2021.08.11
13300,2021.08.12
13300,2021.08.13
1,2021.08.14
8,2021.08.15
5,2021.08.16
8,2021.08.17
13300,2021.08.18
13300,2021.08.19
13300,2021.08.20
2,2021.08.21
4,2021.08.22
13300,2021.08.23
8,2021.08.24
9,2021.08.25
13300,2021.08.26
13300,2021.08.27
4,2021.08.28
8,2021.08.29
13300,2021.08.30
13300,2021.08.31
13300,2021.09.01
13300,2021.09.02
7,2021.09.03
0,2021.09.04
2,2021.09.05
0,2021.09.06
13900,2021.09.07
13900,2021.09.08
13900,2021.09.09
13900,2021.09.10
4,2021.09.11
2,2021.09.12
13900,2021.09.13
8,2021.09.14
0,2021.09.15
5,2021.09.16
13900,2021.09.17
3,2021.09.18
8,2021.09.19
2,2021.09.20
3,2021.09.21
6,2021.09.22
6,2021.09.23
13900,2021.09.24
3,2021.09.25
3,2021.09.26
13900,2021.09.27
13900,2021.09.28
13900,2021.09.29
13900,2021.09.30
13900,2021.10.01
7,2021.10.02
4,2021.10.03
10,2021.10.04
10,2021.10.05
13900,2021.10.06
13900,2021.10.07
13900,2021.10.08
4,2021.10.09
0,2021.10.10
3,2021.10.11
13900,2021.10.12
9,2021.10.13
4,2021.10.14
7,2021.10.15
1,2021.10.16
1,2021.10.17
4,2021.10.18
5,2021.10.19
2,2021.10.20
4,2021.10.21
2,2021.10.22
2,2021.10.23
3,2021.10.24
3,2021.10.25
0,2021.10.26
2,2021.10.27
2,2021.10.28
3,2021.10.29
1,2021.10.30
4,2021.10.31
2,2021.11.01
4,2021.11.02
5,2021.11.03
6,2021.11.04
7,2021.11.05
4,2021.11.06
8,2021.11.07
3,2021.11.08
5,2021.11.09
7,2021.11.10
19000,2021.11.11
19000,2021.11.12
7,2021.11.13
7,2021.11.14
19200,2021.11.15
8,2021.11.16
2,2021.11.17
3,2021.11.18
4,2021.11.19
2,2021.11.20
2,2021.11.21
2,2021.11.22
4,2021.11.23
4,2021.11.24
3,2021.11.25
3,2021.11.26
2,2021.11.27
3,2021.11.28
2,2021.11.29
4,2021.11.30
4,2021.12.01
6,2021.12.02
1720,2021.12.03
1730,2021.12.04
9,2021.12.05
2530,2021.12.06
2530,2021.12.07
2530,2021.12.08
4790,2021.12.09
2310,2021.12.10
9,2021.12.11
8,2021.12.12
9,2021.12.13
3120,2021.12.14
3110,2021.12.15
3120,2021.12.16
7,2021.12.17
2960,2021.12.18
8,2021.12.19
3130,2021.12.20
3140,2021.12.21
3840,2021.12.22
8,2021.12.23
3480,2021.12.24
3480,2021.12.25
3,2021.12.26
3360,2021.12.27
3360,2021.12.28
3360,2021.12.29
6,2021.12.30
3740,2021.12.31
9,2022.01.01
4060,2022.01.02
6,2022.01.03
9,2022.01.04
4430,2022.01.05
10,2022.01.06
4,2022.01.07
9,2022.01.08
4,2022.01.09
9,2022.01.10
5,2022.01.11
1800,2022.01.12
2520,2022.01.13
1920,2022.01.14
1240,2022.01.15
2590,2022.01.16
3110,2022.01.17
4160,2022.01.18
4190,2022.01.19
3380,2022.01.20
2500,2022.01.21
1990,2022.01.22
3100,2022.01.23
3670,2022.01.24
4350,2022.01.25
2850,2022.01.26
2610,2022.01.27
3550,2022.01.28
3530,2022.01.29
