date,title,content
['2021.12.14. 오후 4:24'],"['신보, 게임 개발사에 정책금융기관 최초 SAFE 투자 진행']",['[서울경제]\n\n신용보증기금이 정책금융기관 최초로 조건부지분인수계약(SAFE) 방식을 통해 모바일 게임 개발사인 ‘에이시티게임즈’에 투자한다고 14일 밝혔다. SAFE(Simple Agreement for Future Equity)는 기업가치 산정이 어려운 초기 기업에 먼저 투자하고 벤처캐피탈 등으로부터 후속투자 유치시 결정된 기업가치를 기준으로 투자자의 지분이 결정되는 투자방식이다. 미국 실리콘밸리에서 널리 활용되고 있다. 국내에서는 지난해 8월 시행된 벤처투자 촉진에 관한 법률(벤처투자법)을 통해 도입됐다. SAFE로 투자할 경우 창업자는 사업 초기 투자 유치로 지분이 과도하게 희석되는 것을 방지할 수 있다. 투자자는 적정 밸류에이션 추정에 대한 부담 완화로 신속한 투자가 가능하다.\n\n신보는 선행 투자실적이 없어도 성장유망기업에 투자가 가능한 SAFE 투자 방식을 국내 정책금융기관 최초로 도입하고 투자자의 권리 보호와 투자대상기업의 도덕적 해이를 방지하기 위해 별도의 투자계약서를 마련하는 등 기반을 마련했다.\n\n신보 관계자는 “SAFE 방식의 투자 상품 도입으로 밸류에이션에 대한 기업과의 이견을 줄이고 고성장 스타트업에 신속하게 투자를 진행할 수 있게 됐다”며 “신보는 투자시장에서 소외된 창업초기·지방소재 기업 위주로 투자하는 한편 민간이 투자하지 않은 유망기업을 집중 발굴해 벤처 투자시장에서 마중물 역할을 수행해 나갈 것”이라고 말했다.']
['2021.12.14. 오후 4:22'],['수입물가 7개월만에 꺾였지만…여전히 불안한 인플레'],"[""<앵커>\n\n지난달 국제유가가 하락하면서 수입물가 상승세가 7개월 만에 꺾였습니다.\n\n하지만 1년 전과 비교하면 여전히 높은 수준을 유지하고 있어 인플레 공포는 계속되고 있는 모습입니다.\n\n전민정 기자입니다.\n\n<기자>\n\n배럴당 80달러까지 치솟았던 국제유가. 지난달에는 60~70달러 선으로 떨어지며 주춤한 모습을 보였습니다.\n\n이렇듯 유가 오름세가 꺾이면서 지난달 수입물가지수, 즉 수입제품의 원화 환산 가격 수준도 10월보다 0.6% 하락했습니다. 지난 5월 이후 7개월 만에 내림세로 돌아선 겁니다.\n\n품목별로는 국제유가와 원자재 가격의 영향을 받는 광산품과 1차금속, 석탄·석유제품을 중심으로 하락세를 나타냈습니다.\n\n하지만 1년 전 같은 달과 비교하면 35% 넘게 오르며 9개월 연속 상승세를 이어갔습니다. 수입물가 급등에 따른 인플레 공포가 여전하다는 의미입니다.\n\n수입물가가 정점을 찍고 본격 하락세로 접어들었는지도 더 지켜봐야 한다는 게 한국은행의 판단입니다.\n\n[최진만 / 한국은행 경제통계국 물가통계팀장 : 전월대비 하락했지만 정점인지 아닌지는 판단하기 어렵습니다. 다만 12월 들어 국제유가나 원자재 가격이 하락세를 계속 보이고 있어 향후 어떻게 될지는 모르겠지만 지켜봐야 할 것 같습니다.]\n\n수입물가는 시차를 두고 국내 소비자물가에 영향을 미치는 만큼, 장기간 오름세를 이어가는 수입물가는 이미 3%대로 치솟은 소비자물가에도 부담이 될 전망입니다.\n\n글로벌 공급 차질과 수요 확대로 미국의 11월 소비자물가가 6%를 훌쩍 뛰어넘는 등 전 세계적 인플레이션 우려가 갈수록 커지고 있다는 점도 국내 물가상승 압력을 키우고 있습니다.\n\n[양준모 / 연세대 경제학과 교수 : 3개월정도 지속적인 흐름의 변화가 있을 때 '꺾였다'라고 표현할 수 있어서 한두개월로는 모르는 상황입니다. 올해 오른 수입물가가 내년에 소비자 물가에 영향을 주고, 내년에도 상당히 높은 수준으로 유지가 될 것이므로 여전히 소비자물가 상승에 압박을 줄 것입니다.]\n\n경제협력개발기구(OECD)와 아시아개발은행(ADB) 등 국제기구들도 내년 2%대의 국내 물가 상승을 경고한 상황.\n\n수입물가 상승 압력을 중화시키기 위해서라도 정부가 국내 소비자물가 잡기에 총력전을 펼쳐야 할 시점입니다.\n\n한국경제TV 전민정입니다.""]"
['2021.12.14. 오후 4:22'],"['우리은행, 대한민국광고대상과 온라인광고대상 수상']","['대한민국 광고대상 프로모션 부문 금상\n대한민국 온라인광고대상 크리에이티브부문 우수상\n[이데일리 노희준 기자] 우리금융지주(316140)의 자회사 우리은행은 ‘2021대한민국 광고대상’ 프로모션 부문 금상과 ‘2021대한민국 온라인 광고대상’ 크리에이티브부문 우수상을 수상했다고 14일 밝혔다.\n\n‘2021대한민국 광고대상’은 올해 28회를 맞는 국내 최고 권위의 종합광고상으로 매년 약 2000여편의 엄선된 작품들이 출품된다. 우리은행은 온·오프라인 캠페인 대상 크리에이티브를 중점 평가하는 ‘프로모션부문’에서 ‘기억하_길’ 캠페인으로 금상을 수상했다.\n\n또한 이 작품은 ‘2021 대한민국 온라인광고대상’도 수상하는 영예를 안았다. ‘대한민국 온라인광고대상’은 한 해 동안 가장 창의적이고 혁신적인 온라인 광고를 선정해 시상하고 있으며 올해는 3개 부문 총 129개 점 출품, 10개의 작품만이 선정됐다.\n\n‘기억하_길’ 캠페인은 72시간 만에 누적 참여자 73만명 돌파, 인스타그램 해시태그 3만4000개를 기록하며 화제가 된 바 있다. 이로써 우리은행은 지난 7월 ‘대한민국 디지털 애드어워즈’를 시작으로 총 4개의 광고제에서 수상하게 됐다.\n\n우리은행 관계자는 “소비로 신념을 드러내는 MZ세대의 ‘미닝아웃’ 트렌드를 반영하고 고객의 자발적인 참여가 더해져 좋은 결과로 이어졌다”며 “앞으로도 고객과 함께할 수 있는 의미있는 캠페인을 지속적으로 만들어 나갈 것”이라고 밝혔다.']"
['2021.12.14. 오후 4:20'],"['“카드사, 내년은 위기이자 기회…메타버스에 올라타라”']","['‘여전사 디지털 리스트럭처링’ 여신금융포럼\n[이데일리 김미영 기자] 내년은 마이데이터사업이 본격 시행하고 메타버스가 확산하면서 신용카드업계에 위기와 기회가 공존하는 한 해가 될 것이란 전망이다. 새로운 수익을 창출할 수 있는 기회의 시간이 될 수도 있지만 디지털 규제 환경 변화에 따른 불확실성이 커지고 비금융업권과의 경쟁이 심화될 수 있단 관측이다. 플랫폼 중심으로의 조직 변화와 함께 메타버스를 활용한 사업 확장 등이 필요하단 제언이 나왔다.\n\n여신금융협회는 14일 오후 은행연합회관에서 ‘여전사 디지털 리스트럭처링’이란 주제로 여신금융포럼을 열었다. 임용성 한국IBM 상무는 첫 주제발표에 나서 “내년은 위드 코로나의 영향으로 소비가 활성화돼 카드 사용이 늘고 메이데이터 사업개시로 빅데이터 활용이 본격화되는 등 기회요인이 있다”면서도 “산업간 장벽완화로 경쟁은 심해지고 디지털 전환 가속화에 불화실성 역시 더욱 커질 것”이라고 말했다.\n\n기회를 살리고 카드산업의 경쟁력을 제고하려면 플랫폼 중심의 독립적인 구조로 조직을 바꿔야 한다는 게 임 상무의 제언이다. 고객의 요구와 경쟁 환경에 차별화된 서비스를 빠르게 제공할 수 있는 프로세스를 구축하고, 하나의 서비스는 한 팀에서 완전하게 제공할 수 있는 end-to-end 플랫폼 조직으로 변화해야 한다는 주문이다.\n\n마이데이터 플랫폼에 있어선 개인의 신용정보를 일괄 수집·조회해 서비스를 제공하는 안정성과 고객의 소비 내역·패턴 분석, 대출현황 분석, 자산 포트폴리오 및 투자 성향 분석 등을 통한 서비스 효율성을 고려해야 한다고 조언했다.\n\n진상욱 AT Kearney 디지털부문 대표는 뒤이은 주제발표에서 네이버, KT, 현대차 등 국내 다양한 기업들이 뛰어든 메타버스 활용도 모색해야 한다고 짚었다. 진 대표는 “1세대 웹, 2세대 앱에 이은 3세대 디지털 융합 기술플랫폼으로서 메타버스가 부상하고 있다”며 현재 메타버스는 커머스, 커뮤니티, 게임 등 일부의 기능만을 소비할 수 있는 1단계 세계에서 모두를 소비할 수 있는 2단계로 옮겨가고 있다고 진단했다. 그러면서 “현재의 과도기적 단계를 넘어 2단계로의 진화를 선제적으로 이뤄내는 기업이 큰 기회를 선점할 수 있을 것”이라며 특히 캐피탈사 등은 메타버스 활용으로 마케팅, 고객 경험 혁신 및 신사업 진출 등 다양한 영역에서 새로운 사업 기회를 모색할 수 있다고 강조했다.\n\n김주현 여신금융협회장은 “마이데이터 시행과 메타버스의 확산은 금융서비스의 또다른 변곡점이 될 것”이라며 “디지털 전환에 보다 관심을 갖고, 관계당국과 소통하면서 필요한 제도개선 등을 이루겠다”고 덧붙였다.\n\n14일 열린 여신금융포럼. 아래줄 왼쪽 시계 반대 방향으로 NH농협캐피탈 박태선 대표,하나캐피탈 윤규선 대표,여신금융협회 김주현 회장,국민의힘 윤창현 국회의원,DGB캐피탈 서정동 대표,메이슨캐피탈 정현종 대표,아르케인베스트먼트 김상도 대표,JB우리캐피탈 박춘원 대표,비씨카드 최원석 대표,아주IB투자 김지원 대표,한국IBM 임용성 상무']"
['2021.12.14. 오후 4:19'],"[""광주은행, 임인년 새해 맞아 '호락호락(虎樂)적금' 출시""]","['광주은행이 2022년 임인년 범띠해를 맞아 \'호락호락(虎樂) 적금\'을 출시했다고 14일 밝혔다.\n\n\'호락호락 적금\'은 1년제 또는 2년제로 가입할 수 있고, 월 5만원부터 최대 100만원까지 정액적립식 또는 자유적립식으로 가입 가능하다.\n\n출시일 기준 정액적립식 2년제 상품의 기본금리는 연 1.4%, 자유적립식 2년제 기본금리는 연 1.2%다. 여기에 최고 연 1.2%포인트의 우대금리를 제공한다.\n\n우대금리 요건은 호랑이띠 해 출생 고객의 경우 0.3%포인트, 추천코드를 공유해 등록한 연결계좌 수에 따라 최고 0.5%포인트, 만기해지계좌에 0.1%포인트, 신규 또는 만기 재가입시 0.3%포인트 등이다. 광주은행은 또 2022년 임인년 추가 우대금리 이벤트를 내년 6월 30일까지 진행해 최고 연 0.4%포인트 금리를 추가 제공한다. 성명에 \'호\'가 들어가는 고객은 적금 가입 시 0.2%포인트, 종이통장을 발급하지 않고 비대면 또는 무통장 신규 가입 시 0.2%포인트를 받을 수 있다. 송종욱 광주은행장은 \'호락호락 적금\' 1호 가입자로 나서며 ""2022년 고객들의 종잣돈 마련을 위해 출시한 첫 상품으로 앞으로도 지역민의 금융니즈를 반영한 다양한 금융상품을 선보이겠다""고 말했다.']"
['2021.12.14. 오후 4:16'],"['신보, 조건부지분인수계약으로 게임사 투자']","['[이데일리 노희준 기자] 신용보증기금은 정책금융기관 최초로 조건부지분인수계약(SAFE) 방식을 통해 모바일 게임 개발사인 ‘에이시티게임즈’에 투자한다고 14일 밝혔다.\n\nSAFE(Simple Agreement for Future Equity)는 기업가치 산정이 어려운 초기기업에 먼저 투자하고 벤처 캐피탈 등으로부터 후속투자 유치 시 결정된 기업가치를 기준으로 투자자의 지분이 결정되는 투자방식이다. 미국 실리콘밸리에서 널리 활용되고 있으며 지난해 8월 시행된 벤처투자 촉진에 관한 법률(벤처투자법)을 통해 국내에 도입됐다.\n\nSAFE 투자를 활용할 경우 창업자는 사업 초기 투자 유치로 지분이 과도하게 희석되는 것을 방지할 수 있고, 투자자는 적정 밸류에이션 추정에 대한 부담 완화로 신속한 투자가 가능한 장점이 있다.\n\n벤처투자법 시행 이후 몇몇 기관이 후속투자에서 결정된 기업가치를 활용하는 투자 상품을 도입했지만, 투자실적을 보유한 기업을 대상으로 제한적으로 운용하는 등 실리콘밸리의 SAFE와는 다소 차이가 있었다.\n\n이에 신보는 선행 투자 실적이 없어도 성장유망기업에 투자가 가능한 SAFE 투자방식을 국내 정책금융기관 최초로 도입하고, 투자자의 권리보호와 투자대상기업의 도덕적 해이를 방지하기 위해 별도의 투자계약서를 마련하는 등 국내 SAFE 투자 활성화를 위한 기반을 마련했다.\n\n당초 신보는 주식, 사채를 인수하는 방식으로만 투자가 가능했으나, 지난해 6월 유동수 의원(더불어민주당, 인천 계양구갑)이 대표 발의한 신용보증기금법 일부개정법률안이 올해 6월 시행됨으로써 SAFE 등 다양한 투자방식을 도입할 수 있는 법적 근거가 마련됐다.\n\n한편, 신보는 보증을 이용하고 있는 기업 중 성장 가능성이 높으나 민간투자시장에서 자금조달이 원활하지 못한 혁신 중소기업을 선정해 시드에서 시리즈A 단계 기업에 투자하고 있다. 제도 도입 후 현재까지 총 516개 기업에 3833억원을 투자했다. 내년에도 코로나19 지속으로 어려움을 겪고 있는 성장유망기업을 지원하기 위해 565억원 규모로 직접 투자할 계획이다.\n\n신보 관계자는 “SAFE 방식의 투자 상품 도입으로 밸류에이션에 대한 기업과의 이견을 줄이고, 고성장 스타트업에 신속하게 투자를 진행할 수 있게 됐다”며, “신보는 투자시장에서 소외된 창업초기·지방소재 기업 위주로 투자하는 한편, 민간이 투자하지 않은 유망기업을 집중 발굴해 벤처 투자시장에서 마중물 역할을 수행해 나갈 것”이라고 밝혔다.']"
['2021.12.14. 오후 4:11'],"[""금융데이터 공유인프라 'DATOP' 개방 선포식""]","[""대량의 금융데이터를 통합해서 분석·개방·결합하는 공유 인프라 '데이탑'(DATOP) 개방 선포식이 14일 서울 종로구 포시즌스호텔에서 열렸다. 왼쪽부터 권광석 우리은행장, 진옥동 신한은행장, 배준석 한국은행 부총재보, 고승범 금융위원장, 김학수 금융결제원장, 이동걸 한국산업은행 회장, 허인 KB국민은행장, 김철웅 금융보안원장.\n\n고승범 금융위원장을 비롯한 참석자들이 기념촬영하고 있다.\n\n\n김학수 금융결제원장이 인사말을 하고 있다.\n\n\n\n\n고승범 금융위원장이 축사를 하고 있다.""]"
['2021.12.14. 오후 4:10'],"['까뮤이앤씨, SK에코플랜트 주식 7만1400주 처분 결정']","['[서울=뉴시스]이주혜 기자 = 까뮤이앤씨는 투자금 일부 회수를 위해 SK에코플랜트 주식 7만1400주를 처분한다고 14일 공시했다. 처분금액은 49억9800만원으로 자기자본대비 6.04%에 해당하는 규모다.\n\n처분 후 소유주식수는 74만6500주, 지분비율은 2.11%다.']"
['2021.12.14. 오후 4:05'],"['""실손보험 적자주범 비급여 통제불능""…직접 해결 나서는 보험사들']","['불법 의료 광고혐의 신고 잇따라…업계 공동 대응도 강화\n보험료 인상도 막히고, 당국 비급여 통제도 안돼 `울상\'\n21일 오전 광주 남구 광주기독병원 본관 1층 업무창구에서 환자들이 진료 접수를 하기 위해 기다리고 있다. 2020.12.21/뉴스1 © News1 정다움 기자\n\n(서울=뉴스1) 송상현 기자 = 보험사들이 백내장 등 실손보험 적자의 주범인 일부 비급여 항목의 도덕적 해이 문제를 직접 해결하기 위해 나서고 있다. 실손보험 적자가 올해 3조원 이상으로 늘어날 것으로 전망되고 있지만 기대하는 만큼의 보험료 인상도 수월하지 않기 때문이다. 정부가 비급여 과잉진료에 대한 실효성 있는 대책을 내놔야 한다는 지적이 나온다.\n\n14일 보험업계에 따르면 손해보험사들은 실손보험 적자의 주범인 비급여 항목의 과잉 진료를 막기 위해 사별로 대응을 강화하고 있다.\n\nDB손해보험은 최근 백내장 수술 환자를 모으려고 허위·과장 광고를 낸 안과 병·의원 43곳을 불법 의료광고 혐의로 보건소에 신고했다. 현대해상은 2019년부터 꾸준히 불법 의료광고 행위를 고발해 현재까지 건수가 344건에 달한다. 보험업계 관계자는 ""백내장과 관련한 보험사기가 횡횡하다 보니 보험사들도 대응을 강화할 수밖에 없는 상황""이라며 ""공개할 수 없는 소송 건 수도 상당할 것""이라고 설명했다.\n\n보험업계는 공동 대응도 강화하고 있다. 앞서 지난 9월 손해보험사 5곳(삼성화재·DB손보·현대해상·KB손해보험·메리츠화재)은 \'백내장 과잉·불법 진료가 의심된다\'며 서울 강남에 위치한 5곳의 안과를 공정거래위원회에 공정거래법 위반 혐의로 신고했다.\n\n손보업계는 백내장 과잉 진료가 통제 불가한 수준으로 늘어나고 있다고 판단하고 있다. 10개 손해보험사의 백내장 관련 보험금이 2018년 2490억원에서 지난해 6374억원으로 불었고, 올해 상반기에만 작년 동기 대비 58.2%나 급증한 4813억원에 달했다. 올해 1조원 이상으로 늘어날 것이 유력하다.\n\n비급여 통제가 더 중요한 이유는 손보업계가 올해도 실손보험 인상률을 기대만큼 올리지 못할 수 있기 때문이다. 손보업계의 실손보험 적자는 올해 3조원에 육박할 것으로 전망되는 만큼 보험료 20% 인상이 불가피하다는 입장이다. 그러나 대통령 선거과 지방 선거 등을 앞둔 정부로서는 서민 물가에 밀접한 실손보험료 인상이 부담스러운 상황이다. 손보업계에서는 내년에도 실손보험료 인상률이 10%대 수준으로 적자 폭이 더 커질 것이란 우려가 지배적이다.\n\n손보업계 관계자는 ""비정상적인 실손보험 관리체계를 비웃기라도 하듯 백내장, 도수치료, 비타민주사 같은 비급여 청구가 통제불능으로 늘어나는 상황""이라며 ""실효성 있는 통제방안이 절실하다""고 강조했다. 금융당국은 보건복지부 등 정부 기관과 협의를 거쳐 지난 9월29일부터 전국 6만8000여개 병·의원들의 비급여 진료비용을 건강보험심사평가원 누리집과 모바일앱 \'건강정보\'를 통해 공개했다. 그러나 법적 강제성이 없다 보니 일부 병·의원들이 진료비 공개를 거부하며 헌법소원도 추진하는 등 의료계 반발이 거세다.']"
['2021.12.14. 오후 4:04'],"['특허청, IP금융으로 코로나19 대응기업에 291억원 지원']","['기사내용 요약\n기업 경영안정·사업구조 개선 지원효과 커\n[대전=뉴시스] 특허청이 입주해 있는 정부대전청사 전경. *재판매 및 DB 금지\n[대전=뉴시스] 김양수 기자 = 특허청은 지식재산(IP)금융을 통해 올 10개월간 코로나19 대응기업 9개사에 291억원을 지원했다고 14일 밝혔다.\n\nIP금융은 기업이 보유한 IP의 경제적 가치를 평가해 금융기관이 평가받은 IP를 기반으로 보증·대출·투자를 실행하는 금융지원제도다. 이번 코로나19 사태때 중소기업들의 경영안정에 큰 역할을 한 것으로 확인됐다.\n\n기업별로는 코로나19 치료제 개발기업 3개사에 115억원, 백신 개발기업 1개사에 20억원, 진단키트 생산기업 5개사에 156억원이 각 지원됐다.\n\n이번 실적에는 코로나19 대응기업 등을 대상으로 신속 지원절차를 운영하고 지원규모를 확대하는 등 특허청의 기밀한 대응도 한몫했다.\n\n지난해 2월부터 특허청은 코로나19 대응기업 등을 대상으로 IP금융지원을 위한 IP가치평가를 우선적으로 제공하고 있고 은행권과 협력해 대출심사도 신속하게 진행되도록 노력해 왔다.\n\n또 모태펀드 특허계정을 통한 IP투자 규모를 지속적으로 확대해 2019년 1152억원에서 지난해에는 2088억원으로 끌어올렸다.\n\n특허청 정연우 산업재산정책국장은 ""IP금융이 코로나19 대응기업의 사업화 자금조달 및 기업성장에 기여한 것으로 확인됐다""면서 ""우수한 IP를 보유한 코로나19 대응기업 등이 지식재산을 기반으로 자금을 조달받아 글로벌 경쟁력을 갖춰나갈 수 있도록 IP금융 확대를 위해 더 노력하겠다""고 말했다.']"
