word,count
게임,19516
투자,9526
언론사,8993
기업,8988
리니지,8890
뉴스,7855
주가,7774
시장,7235
매출,7134
출시,7111
관련,6945
경제,6658
카카오,5860
분기,5615
국내,5321
해당,5311
대표,5152
증권,4992
선정,4945
한국,4900
지난,4881
페이지,4724
아웃,4558
링크,4506
이동해,4500
글로벌,4402
실적,4332
대한,4230
기록,4225
래프,4152
대비,4055
신작,3997
가능,3893
올해,3735
이익,3693
개발,3690
상승,3566
회장,3565
최근,3528
지난해,3517
주식,3482
업계,3461
상장,3431
금융,3421
종목,3379
전망,3373
영업,3320
기자,3264
네이버,3100
서비스,3097
연구원,3096
서울,3092
이용자,3042
통해,2992
버스,2992
기준,2981
이후,2962
사업,2917
평가,2821
하락,2820
기대,2785
거래,2768
매수,2748
메타,2708
공개,2705
성장,2683
넷마블,2643
플랫,2613
수익,2610
예상,2590
규모,2568
흥행,2553
이상,2548
게임즈,2527
회사,2494
모바일,2480
수준,2474
이날,2460
코로나,2429
기술,2407
투자자,2386
산업,2355
지수,2328
기존,2314
증가,2303
콘텐츠,2292
예정,2267
아이템,2241
때문,2232
제공,2200
코스피,2200
따르,2194
밝혔,2131
소울,2129
사진,2118
가치,2113
시작,2097
블레이드,2048
분석,2022
설명,2021
외국인,2020
세계,2016
진행,1986
연봉,1972
중국,1967
목표,1895
전년,1856
기관,1846
공모,1821
금지,1821
정보,1790
최고,1751
삼성전자,1747
미국,1724
위해,1718
상황,1714
성공,1687
경우,1672
업체,1665
발표,1664
확률,1663
내년,1652
이번,1647
아니,1642
증시,1632
자산,1628
개인,1623
직원,1614
해외,1610
배포,1589
플레이,1575
규제,1570
그룹,1568
넥슨,1546
청약,1546
계획,1545
삼성,1541
시간,1506
영상,1501
업종,1487
최대,1471
논란,1466
감소,1462
무단,1460
평균,1451
블록체인,1448
전재,1448
사전,1442
부진,1432
필요,1426
미래,1421
데일리,1411
기반,1407
엔터,1398
영향,1394
주요,1390
확대,1377
시가총액,1376
보유,1375
성과,1370
조정,1359
가운데,1355
기간,1344
시스템,1332
오딘,1322
일본,1316
따라,1308
신규,1301
위한,1295
코스닥,1292
대해,1292
온라인,1276
거래소,1271
하나,1267
지분,1256
만들,1255
상위,1254
유지,1251
지속,1246
인상,1235
위메이드,1233
어비스,1229
구글,1222
새로운,1221
매출액,1221
모델,1221
바이오,1219
보이,1217
머니,1210
공시,1210
순위,1209
우려,1205
관계자,1204
지난달,1199
대상,1199
활용,1196
관심,1195
추가,1185
경쟁,1185
기대감,1185
만큼,1182
운영,1181
파이낸셜,1179
올랐,1178
전략,1167
과금,1163
동기,1156
이유,1155
의견,1148
주목,1147
거래일,1135
투데이,1129
경영,1125
적용,1122
개선,1119
의장,1115
추정,1105
판교,1102
유저,1099
역할,1088
개월,1088
결정,1087
사회,1079
반영,1075
상반기,1073
오른,1073
비중,1064
구독,1058
전날,1056
프로젝트,1056
가격,1052
김택진,1052
하반기,1049
펀드,1044
하향,1038
효과,1033
참여,1032
수요,1026
뱅크,1022
인기,1003
문제,1002
준비,996
가상,993
강화,993
확장,993
이달,980
정부,976
인수,973
반면,972
이사,966
마감,965
지적,963
비교,962
부회장,958
국가,954
한다,942
급락,937
마켓,937
변화,934
환경,929
사용,925
결과,923
지역,921
운용,920
중심,918
재산,917
라고,913
따른,911
모습,909
디지털,909
향후,904
