날짜,요일,공휴일,주말
2021-01-15,금,0,0
2021-01-16,토,0,1
2021-01-17,일,0,1
2021-01-18,월,0,0
2021-01-19,화,0,0
2021-01-20,수,0,0
2021-01-21,목,0,0
2021-01-22,금,0,0
2021-01-23,토,0,1
2021-01-24,일,0,1
2021-01-25,월,0,0
2021-01-26,화,0,0
2021-01-27,수,0,0
2021-01-28,목,0,0
2021-01-29,금,0,0
2021-01-30,토,0,1
2021-01-31,일,0,1
2021-02-01,월,0,0
2021-02-02,화,0,0
2021-02-03,수,0,0
2021-02-04,목,0,0
2021-02-05,금,0,0
2021-02-06,토,0,1
2021-02-07,일,0,1
2021-02-08,월,0,0
2021-02-09,화,0,0
2021-02-10,수,0,0
2021-02-11,목,1,0
2021-02-12,금,1,0
2021-02-13,토,1,1
2021-02-14,일,0,1
2021-02-15,월,0,0
2021-02-16,화,0,0
2021-02-17,수,0,0
2021-02-18,목,0,0
2021-02-19,금,0,0
2021-02-20,토,0,1
2021-02-21,일,0,1
2021-02-22,월,0,0
2021-02-23,화,0,0
2021-02-24,수,0,0
2021-02-25,목,0,0
2021-02-26,금,0,0
2021-02-27,토,0,1
2021-02-28,일,0,1
2021-03-01,월,1,0
2021-03-02,화,0,0
2021-03-03,수,0,0
2021-03-04,목,0,0
2021-03-05,금,0,0
2021-03-06,토,0,1
2021-03-07,일,0,1
2021-03-08,월,0,0
2021-03-09,화,0,0
2021-03-10,수,0,0
2021-03-11,목,0,0
2021-03-12,금,0,0
2021-03-13,토,0,1
2021-03-14,일,0,1
2021-03-15,월,0,0
2021-03-16,화,0,0
2021-03-17,수,0,0
2021-03-18,목,0,0
2021-03-19,금,0,0
2021-03-20,토,0,1
2021-03-21,일,0,1
2021-03-22,월,0,0
2021-03-23,화,0,0
2021-03-24,수,0,0
2021-03-25,목,0,0
2021-03-26,금,0,0
2021-03-27,토,0,1
2021-03-28,일,0,1
2021-03-29,월,0,0
2021-03-30,화,0,0
2021-03-31,수,0,0
2021-04-01,목,0,0
2021-04-02,금,0,0
2021-04-03,토,0,1
2021-04-04,일,0,1
2021-04-05,월,0,0
2021-04-06,화,0,0
2021-04-07,수,0,0
2021-04-08,목,0,0
2021-04-09,금,0,0
2021-04-10,토,0,1
2021-04-11,일,0,1
2021-04-12,월,0,0
2021-04-13,화,0,0
2021-04-14,수,0,0
2021-04-15,목,0,0
2021-04-16,금,0,0
2021-04-17,토,0,1
2021-04-18,일,0,1
2021-04-19,월,0,0
2021-04-20,화,0,0
2021-04-21,수,0,0
2021-04-22,목,0,0
2021-04-23,금,0,0
