date,title,content
2021.12.14. 오후 11:53,PPI 기록적 상승···금리 인상 시점 재는 월가 [뉴욕증시 나우] : 네이버 뉴스,"




	
	여기는 미국 동부시간 14일 오전 9시 31분입니다. FOMC를 하루 앞두고 나온 미국의 11월 생산자물가지수 PPI는 여전히 높은 인플레이션 압력이 미국 경제를 흔들 수 있다는 우려섞인 전망에 힘을 보탤 만큼의 수준으로 나왔습니다. 제품들의 원가가 빠른 속도로 올라가고 있다는 뜻입니다. 숫자로 살펴보면 11월 PPI는 1년 전보다 9.6% 상승했습니다. 시장 예상치인 9.2%를 또 웃돈 겁니다.인플레이션이 높아지는 속도가 시장의 속도보다도 빠른 건데, 그만큼 연준이 테이퍼링 속도를 높일 지가 관건입니다. 시장에서는 연준이 자산매입 축소 규모를 올해 매월 150억 달러에서 내년에는 300억 달러로 높일 수 있다는 전망이 나옵니다. 오늘 발표된 CNBC의 설문조사에 따르면 월가에서는 연준이 속도를 높여서 내년 3월에는 테이퍼링을 끝내고 6월에는 금리를 올릴 것이라는 전망이 나오기도 했습니다. 오늘 약세장에서도 금리 상승의 수혜를 생각할 수 있는 은행주 부문은 오르는 흐름도 참고할 부분입니다.다른 개별 종목들은 어떻게 움직이고 있을까요. 일론 머스크 CEO가 스톡옵션 행사에 따른 세금을 납부하기 위해서 우리돈 1조원 규모의 주식을 더 팔았다는 소식 이후 프리마켓에서 3%대 하락세를 보인 테슬라를 비롯해서 국내 투자자들이 관심갖고 있는 주요 종목들은 개장 전 거래에서 약세를 보이고 있습니다. 파이퍼샌들러가 투자의견을 비중 축소에서 중립으로 한 단계 높인 대체육 제품 생산기업인 비욘드미트가 그나마 프리마켓에서 상승하는 정도입니다.어제 장마감 후 브리핑에서 월가에서 위험자산 회피 심리가 커질 수 있는 국면이라는 점을 생각해보아야 할 때가 아닌가 하는 말씀을 드렸는데, 증시에서도 어제에 이어 밈 주식들으로 분류되어온 종목들이 오늘 낙폭이 큽니다. AMC는 8.5%, 게임스탑은 4.5%대 하락세를 보이고 있습니다.유가도 하락세입니다. 서부텍사스산중질유 WTI는 전거래일 대비 1.4% 가량 낮아지면서 배럴당 70달러선으로 내려왔습니다.

"
2021.12.14. 오후 11:49,"머스크 ""테슬라 상품 결제 허용""…도지코인 20% 폭등 : 네이버 뉴스","




도지코인 가격 순식간에 20% 가까이 폭등(출처=코인마켓캡)[뉴욕=이데일리 김정남 특파원] “테슬라의 일부 상품을 ‘도지(Doge)’로 살 수 있게 하겠다.”미국 전기차업체 테슬라의 일론 머스크 최고경영자(CEO)가 14일(현지시간) 자신의 트위터를 통해 “어떻게 될지 지켜보자(see how it goes)”며 이렇게 말했다. 머스크는 자신을 ‘도지코인의 아버지(Dogefather)’라고 부르는 등 도지코인 띄우기에 나섰던 인사다.테슬라는 전기차 외에 어린이용 전기 바이크와 의류, 액세서리, 장식품 등을 판매하고 있다.머스크의 트윗 한방에 도지코인 가격은 순식간에 폭등했다. 코인마켓캡에 따르면 이날 오전 9시39분 현재 도지코인 가격은 1개당 0.1914달러로 24시간 전과 비교해 20% 가까이 폭등했다.

"
2021.12.14. 오후 11:40,美 생산자물가도 역대 최고…금리인상 시계 더 빨라지나 : 네이버 뉴스,"




11월 9.6% 올라 전망치 상회미국 소비자물가가 급등하고 있는 가운데 생산자물가가 역대 최고 수준으로 뛰었다. 생산자물가는 시간을 두고 소비자물가에 영향을 미친다는 점에서 인플레이션이 당분간 잦아들지 않을 것으로 예상된다.14일(현지시간) 미 노동부는 지난 11월 생산자물가지수(PPI)가 전년 동월 대비 9.6% 상승했다고 발표했다. 이는 팩트셋이 집계한 시장 전망치(9.2%)를 크게 상회하는 수준이다. 전월 대비로는 0.8% 올랐다. 이 같은 상승폭은 역대 최고치다. 노동부는 생산자물가를 2010년 11월부터 발표해왔는데 이같이 높은 상승을 기록한 적이 없었다. 변동폭이 큰 음식과 에너지를 제외한 근원 생산자물가지수는 전년 동월 대비 6.9%, 전월 대비로는 0.7% 올랐다. 전년 동월 대비로는 시장 전망치(7.2%)를 다소 밑돌았지만 전월 대비 전망치(0.4%)보다 올라 최근 시간이 갈수록 상대적인 상승폭이 커지고 있음이 확인됐다.상품 수요가 커진 것이 생산자물가를 끌어올린 주된 원인이었다. 상품 수요는 지난 10월 1.3% 증가한 데 이어 11월에는 1.2% 늘어났다. 지난 11월 소비자물가지수(CPI)는 전년 동월보다 6.8% 상승하면서 39년 만에 최고치를 기록해 시장에 충격을 준 바 있다. 근원 소비자물가지수도 30년 만에 최고치를 나타내는 등 물가 상승세가 잡히지 않고 있어 미국 경제 최대 아킬레스건이 되고 있다.생산자물가지수까지 시장 전망치를 넘어설 정도로 급등함에 따라 이날부터 이틀간 열리는 연방준비제도(Fed·연준)의 연방공개시장위원회(FOMC) 회의에서 강력한 긴축정책 기조가 나올 가능성이 높아졌다는 평가다.이날 회의에서 공개될 예정인 점도표에서는 연준 위원들이 내년에 기준금리를 몇 번 인상할지가 드러날 전망이다. 내년에 기준금리를 3차례까지 올릴 것으로 보는 견해가 연준 내에서 다수설이 되면 뉴욕 증시에는 충격이 미칠 것으로 예상된다.

"
2021.12.14. 오후 11:39,"머스크 ""도지코인으로 테슬라 상품 결제"" : 네이버 뉴스","




트윗 글에 도지코인 30% 폭등일론 머스크 테슬라 최고경영자(CEO)가 가상화폐인 도지코인을 테슬라 일부 상품에 한해 결제수단으로 도입하겠다고 밝혔다.14일(현지시간) 머스크는 트위터를 통해 ""테슬라는 일부 상품을 도지코인으로 구매 가능하게 만들 예정이며 어떻게 될지 추이를 볼 것""이라고 밝혔다. 도지코인을 일부 테슬라 상품에 한정해 결제수단으로 시범 도입하겠다는 뜻이다. 테슬라는 전기차 외에도 어린이용 전기 바이크 '사이버쿼드', 의류, 액세서리, 장식품 등을 판매하고 있다. 머스크의 트윗이 올라오자 이날 도지코인 가격은 30% 이상 폭등했다.   전날 미국 시사주간지 타임(Time Magazine)이 머스크를 '2021년 올해의 인물'로 선정한 가운데 관련 인터뷰에서도 머스크는 도지코인을 결제수단으로 지지하는 발언을 쏟아냈다. 머스크는 타임지 인터뷰에서 ""기본적으로 비트코인은 거래 통화로 좋은 대안이 아니다""며 ""농담으로 만들어졌지만 도지코인이 더 (결제수단으로) 적합하다""고 밝혔다. 그는 ""비트코인은 거래량이 적고 거래당 수수료가 높다""며 ""비트코인은 가치 저장 수단에 더 적합하기 때문에 투자자들은 비트코인을 보유하길 원한다""고 설명했다. 반면 도지코인은 사람들의 소비를 장려하는 화폐라고 머스크는 강조했다.도지코인은 2013년 소프트웨어 개발자 빌리 마커스가 장난 삼아 만든 가상화폐다. 머스크는 올해 들어 도지코인을 옹호하고 '도지 파더'를 자처해왔다. 머스크는 지난 3월 테슬라 자동차를 비트코인으로 결제하는 것을 허용한다고 발표하며 비트코인 가격 급등을 주도했지만 두 달 만에 결제를 중단하면서 가상화폐 하락장에 불을 지폈다.

"
2021.12.14. 오후 11:37,[속보]뉴욕증시 하락출발...나스닥 1.06%↓ : 네이버 뉴스,"




	
	뉴욕증시가 하락 출발했다. 14일(현지시간) 오전 9시36분 현재 다우지수와 S&P500지수는 각각 0.03%, 0.57% 하락 중이다. 나스닥지수는 1.06% 하락하고 있다. 

"
2021.12.14. 오후 11:31,'사상 최고' 미 도매물가 9.6%↑…극에 달한 인플레 공포 : 네이버 뉴스,"




미국 11월 PPI, 전년 동월 대비 9.6% 상승2010년 11월 노동부 통계 산출 이후 최고(사진=AFP 제공)[뉴욕=이데일리 김정남 특파원] 미국의 도매물가가 사상 최고치로 치솟았다. 공급망 대란과 노동력 부족 탓에 기업발(發) 인플레이션 압력이 거세지고 있다는 방증이다. 이 때문에 연방준비제도(Fed)가 긴축 속도를 확 끌어올릴 수 있다는 관측이 나온다.14일(현지시간) 미국 노동부에 따르면 올해 11월 생산자물가지수(PPI) 상승률은 전년 동월 대비 9.6%를 기록했다. 노동부가 2010년 11월 관련 통계를 산출하기 시작한 이후 가장 높다. 금융정보업체 팩트셋이 집계한 시장 예상치(9.2%)를 뛰어넘었다.전월과 비교한 PPI 상승률은 0.8%를 나타냈다. 0.6%를 기록했던 10월보다 높아졌다. 변동성이 큰 식료품과 에너지를 제외한 10월 근원 PPI는 전년 동월 대비 6.9%를 뛰었다. 이 역시 사상 최고치다. 10월과 비교해서는 0.7% 올랐다.PPI는 생산자의 판매 가격에 의한 물가지수를 말한다. 소비자물가지수(CPI)를 소매물가라고 하면, PPI는 도매물가 격에 해당한다. 11월 CPI 상승률이 6.8%로 1982년 6월(7.2%) 이후 거의 40년 만에 가장 높았던데 이어 PPI의 경우 역대 최고치로 치솟으면서, 미국 내 인플레이션 우려는 한층 커질 것으로 보인다.특히 기업이 인플레이션 부담을 느끼면 소비자 판매가격에 전가할 수 있다는 점에서 악순환은 당분간 이어질 가능성이 높다. 게다가 미국 경제는 연말 대목으로 갈수록 수요가 높아지는 특징이 있다. CNBC는 “미국 경제를 괴롭히는 인플레이션이 지속하고 있다”고 전했다.이에 따라 물가당국인 연준이 긴축 속도를 높일 것이라는 관측이 많아졌다. 연준은 이날부터 이틀간 12월 연방공개시장위원회(FOMC) 정례회의를 연다.

"
2021.12.14. 오후 11:21,"머스크, 도지코인 관련 트윗...가격 40% 폭등 : 네이버 뉴스","




일론 머스크가 14일(현지시간) 올린 도지코인 관련 트윗. 사진=트위터캡처. 일론 머스크 테슬라 최고경영자(CEO)가 14일(현지시간) 테슬라 제품을 구매할 때 앞으로 도지코인으로 결제하도록 할 것이라고 트위터에서 밝혔다.   이 트윗후 도지코인 가격은 한국시간으로 14일 오후 7시 22센트로 전날 대비 40% 상승했다고 월스트리트저널(WSJ)이 보도했다.   머스크는 트위터에 일부 테슬라 제품을 도지코인으로 구매하도록 허용할 것이라며 “어떻게 될지 지켜보자”라고 적었다.   도지코인은 가상자산 중 가장 변동성이 큰 것 중 하나로 지난 1~5월에 1만5500%를 포함해 올해 가격이 3000% 상승했다.   테슬라는 지난 2월 15억달러(약 1조7740억원) 규모의 비트코인 투자를 발표하면서 전기차 구매 시 비트코인으로 결제할 수 있도록 허용했다. 그는 또 트위터에 자신을 '도지코인의 아버지(Dogefather)'라고 적는 등 도지코인 띄우기에 나서기도 했다.   하지만 테슬라는 비트코인 결제를 허용한 뒤 두 달도 안 돼 비트코인은 채굴이 환경에 악영향을 미친다며 결제를 중단했다.   또 머스크는 지난 5월 미국 NBC방송의 코미디쇼 '새터데이 나이트 라이브(SNL)'에 출연해 도지코인이 사기냐는 질문에 ""사기(hustle)""라고 농담조로 말했다가 방송이 끝나기도 전에 30% 가까이 가격이 폭락하기도 했다.
	
"
2021.12.14. 오후 11:18,美 11월 생산자 물가 9.6% 급등…2010년 후 최대폭 상승 : 네이버 뉴스,"




	
	미국 11월 생산자물가가 예상을 뛰어넘는 상승률을 기록했다.14일(현지 시각) 미국 노동부는 11월 생산자물가지수(PPI)가 작년 11월에 비해 9.6% 급등했다고 밝혔다.이 같은 상승폭은 로이터가 조사한 전문가 전망치(9.2%)를 넘어선 것으로, 2010년 11월 가장 큰 폭이다.11월 생산자물가지수는 10월과 비교해도 0.8% 오르며 시장 전망치(0.5%)를 뛰어넘었다.변동성이 큰 식품과 에너지 성분을 제외한 이른바 근원 PPI는 0.7% 증가해 1년 전보다 7.7% 증가했다.근원 PPI는 전달의 6.8% 상승 대비 상승폭 확대가 두드러졌다.생산자물가 발표 후 연방준비제도가 내년에 긴축 정책을 강화할 것이라는 전망이 힘을 얻으면서 주가 지수 선물은 손실을 확대했다.

"
2021.12.14. 오후 11:05,11월 미국 생산자물가 1년만에 9.6% 급등… CNBC “사상 최고치” : 네이버 뉴스,"




	
								미국의 11월 생산자물가지수(PPI)가 1년만에 9.6% 상승했다고 미 노동부가 14일(현지시각) 밝혔다. 10월에는 전년 동월 대비 8.6% 상승해 관련 통계를 집계하기 시작한 이후 약 11년만에 사상 최고치를 기록했는데, 불과 한 달만에 그 기록을 갈아치운 것이다. 월가 예상치(9.2%)보다도 높은 수준이다. CNBC 방송은 “이번 PPI 상승률이 역대 최고 기록”이라고 전했다./뉴시스물가 급상승으로 부담 커지는 미국 경제										11월 PPI는 전월 대비로는 0.8% 올랐다. 10월(0.6%)보다 상승폭이 확대됐다.변동성이 큰 식료품·용역·에너지를 제외한 근원 PPI도 전년 대비 7.7% 올랐다. 10월 상승률(6.8%)을 훌쩍 뛰어넘었다. 통상 생산자물가지수는 소비자물가지수의 선행지표 역할을 한다.이처럼 인플레이션 우려가 커지자 물가를 잡기 위한 미국의 금리인상 시계도 빨라지고 있다. 월가에서는 미 연방준비제도(Fed)가 오는 14~15일 열리는 올해 마지막 연방공개시장위원회(FOMC) 회의에서 테이퍼링(자산매입 축소) 속도를 기존의 두 배로 끌어올릴 것이란 전망이 나오고 있다. 블룸버그통신이 지난 3~9일 월가 이코노미스트 49명을 설문한 결과, FOMC가 테이퍼링 종료 시점을 당초 6월에서 3월로 앞당기는 결정을 내릴 것이란 전망이 우세했다.제롬 파월 미 연준 의장도 지난달 30일 미 상원 은행위원회에 출석해 “인플레이션 압력이 강해지고 있다”며 “테이퍼링 속도를 높이는 게 적절한 것 같다”고 말했다.

"
2021.12.14. 오후 10:51,"골드만삭스, 랄프로렌 '매수→매도' 강등…목표가 110달러 : 네이버 뉴스","




	
	골드만삭스가 랄프로렌에 대한 투자의견을 강등했다.14일(현지시간) CNBC에 따르면 골드만삭스는 랄프로렌에 대한 투자의견을 매수에서 매도로 변경했다.골드만삭스는 랄프로렌의 브랜드 인지도가 악화하면서 앞으로의 성장에 제동이 걸릴 것으로 내다봤다.브룩 로치(Brooke Roach) 골드만삭스 애널리스트는 ""랄프로렌에 대한 브랜드 모멘텀 지표에서 둔화가 관찰된다""며 ""이는 레버리지와 마진 확장의 위험을 초래한다""고 지적했다.골드만삭스는 랄프로렌의 12개월 목표주가를 142달러에서 110달러로 낮췄다. 새로운 예측은 전 거래일(13일) 종가보다 약 8% 낮다.

"
