count,tweets
0,신속항원검사키트 제공 에스디바이오센서 137310 https t co cQhJ3PshD0
1,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
2,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
3,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
4,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
5,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
6,에스디바이오센서가 합류한 미래기술 백금 기반 연속혈당측정기’ https t co AfGi5YnGKo
7,시총 100대기업 에스디바이오센서 상한가 급등 시가총액 8조원 돌파 https t co AiZf1nyzbt
8,Xinews 진단제품 실용신안 놓고 맞붙은 에스디바이오센서 래피젠 https t co xjS9bk0ky4
9,시총 100대기업 에스디바이오센서 상한가 급등 시가총액 8조원 돌파 https t co AiZf1nyzbt
10,애플카 대성파인텍 모아텍 현우산업 석유 중앙에너비스 한국석유 극동유화 신규주 LG에너지솔루션 오토앤 진단키트 경남제약 휴마시스 에스디바이오센서
11,에스디바이오센서 스탠다드큐 코로나 19 항원 자가검사 테스트기 COVID 19 Ag Home Test 09COV130 1개 https t co ugiCRYXHty 파트너스 활동으로 수수료를 받을수 있어 https t co 9fhTZP6grv
12,RT happy_CSR_ 문재인 대통령 그동안 정확도가 PCR 검사보다 떨어진다고 알려져 있었는데 지금은 정확도가 어느 정도인지 정확하게 알려줄 수 있는가 조영식 에스디바이오센서 전무 국립보건연구원에서 미국에 자체 의뢰해 11개 제품
13,RT happy_CSR_ 문재인 대통령님 코로나19 자가검사키트 생산 업체 에스디바이오센서 오송 공장을 방문해 연휴에도 근무 중인 현장 근무자들을 격려 이번 오미크론 변이 대응의 핵심은 첫째는 검사체계를 전환하는 것이고 두 번째는 의료체계
14,RT yeouidopeople 여의도사람들 2월 3일 마감브리핑 금일 양시장 모두 상승마감했습니다 휴마시스 에스디바이오센서 일동제약등 치료제와 진단키트 관련주들이 초강세를 보인 하루였습니다 지수 반등으로 그동안 낙폭이 과했던 대형주들
15,여의도사람들 2월 3일 마감브리핑 금일 양시장 모두 상승마감했습니다 휴마시스 에스디바이오센서 일동제약등 치료제와 진단키트 관련주들이 초강세를 보인 하루였습니다 지수 반등으로 그동안 낙폭이 과했던 대형주들도 일부 반등하는 흐름이었습니다
16,현재 검사키트로 공식 허가된 제품은 에스디바이오센서의 STANDARD™ Q COVID 19 Ag Home Test 휴마시스의 휴마시스 코비드 19 홈 테스트’ 래피젠의 BIOCREDIT COVID https t co SQ2eGLonvq
17,에스디바이오센서 불성실공시법인 지정 사유가 된 소송 https t co oQv6wrT1mT
18,에스디바이오센서 너무 화가나요 아무리 내가 적금식으로 사 모은 주식이라고 팔고 나서 상한가 가는게 어딨어
19,진단키트주들은 단순 테마주라기보다는 휴마시스 에스디바이오센서 엑세스바이오등 테마성으로 상승하는 것도있지만 실적주로 보셔야합니다
20,RT pt502 이시각 주요뉴스 10시 1 신규확진 2만2 907명 오미크론 확산에 이틀째 2만명대 2 에스디바이오센서 코로나19 자가진단 키트 미국서 리콜 3 LG에너지솔루션 사흘만에 반등 시도
