date,Search
2021.1.1,7
2021.1.2,4
2021.1.3,2
2021.1.4,7
2021.1.5,141000
2021.1.6,99600
2021.1.7,99600
2021.1.8,99600
2021.1.9,4
2021.1.10,99600
2021.1.11,99500
2021.1.12,8
2021.1.13,144000
2021.1.14,144000
2021.1.15,99500
2021.1.16,144000
2021.1.17,99500
2021.1.18,99500
2021.1.19,141000
2021.1.20,144000
2021.1.21,144000
2021.1.22,99500
2021.1.23,144000
2021.1.24,99500
2021.1.25,141000
2021.1.26,144000
2021.1.27,4
2021.1.28,144000
2021.1.29,144000
2021.1.30,7
2021.1.31,9
2021.2.1,9
2021.2.2,141000
2021.2.3,99500
2021.2.4,143000
2021.2.5,141000
2021.2.6,7
2021.2.7,9
2021.2.8,2
2021.2.9,8
2021.2.10,83000
2021.2.11,83000
2021.2.12,7
2021.2.13,6
2021.2.14,7
2021.2.15,83000
2021.2.16,83000
2021.2.17,83000
2021.2.18,82900
2021.2.19,83000
2021.2.20,5
2021.2.21,83000
2021.2.22,83000
2021.2.23,83000
2021.2.24,83000
2021.2.25,83000
2021.2.26,83000
2021.2.27,9
2021.2.28,120000
2021.3.1,8
2021.3.2,83000
2021.3.3,83000
2021.3.4,82900
2021.3.5,83000
2021.3.6,2
2021.3.7,82900
2021.3.8,83000
2021.3.9,83000
2021.3.10,83000
2021.3.11,83000
2021.3.12,83000
2021.3.13,
2021.3.14,83000
2021.3.15,83000
2021.3.16,83000
2021.3.17,83000
2021.3.18,83000
2021.3.19,83000
2021.3.20,83000
2021.3.21,7
2021.3.22,4
2021.3.23,247000
2021.3.24,250000
2021.3.25,247000
2021.3.26,250000
2021.3.27,8
2021.3.28,257000
2021.3.29,241000
2021.3.30,250000
2021.3.31,241000
2021.4.1,246000
2021.4.2,257000
2021.4.3,5
2021.4.4,6
2021.4.5,250000
2021.4.6,247000
2021.4.7,257000
2021.4.8,252000
2021.4.9,257000
2021.4.10,4
2021.4.11,10
2021.4.12,9
2021.4.13,257000
2021.4.14,250000
2021.4.15,245000
2021.4.16,257000
2021.4.17,257000
2021.4.18,250000
2021.4.19,257000
2021.4.20,10
2021.4.21,257000
2021.4.22,257000
2021.4.23,250000
2021.4.24,6
2021.4.25,4
2021.4.26,245000
2021.4.27,247000
2021.4.28,250000
2021.4.29,247000
2021.4.30,257000
2021.5.1,6
2021.5.2,3
2021.5.3,102000
2021.5.4,102000
2021.5.5,102000
2021.5.6,102000
2021.5.7,102000
2021.5.8,7
2021.5.9,7
2021.5.10,102000
2021.5.11,102000
2021.5.12,7
2021.5.13,102000
2021.5.14,102000
2021.5.15,102000
2021.5.16,9
2021.5.17,102000
2021.5.18,102000
2021.5.19,102000
2021.5.20,102000
2021.5.21,102000
2021.5.22,102000
2021.5.23,102000
2021.5.24,102000
2021.5.25,102000
2021.5.26,
2021.5.27,101000
2021.5.28,102000
2021.5.29,8
2021.5.30,102000
2021.5.31,102000
2021.6.1,102000
2021.6.2,102000
2021.6.3,102000
2021.6.4,102000
2021.6.5,7
2021.6.6,102000
2021.6.7,102000
2021.6.8,102000
2021.6.9,102000
2021.6.10,102000
2021.6.11,102000
2021.6.12,8
2021.6.13,0
2021.6.14,444000
2021.6.15,434000
2021.6.16,396000
2021.6.17,396000
2021.6.18,396000
2021.6.19,6
2021.6.20,396000
2021.6.21,396000
2021.6.22,434000
2021.6.23,
2021.6.24,396000
2021.6.25,396000
2021.6.26,5
2021.6.27,4
2021.6.28,445000
2021.6.29,492000
2021.6.30,396000
2021.7.1,445000
2021.7.2,8
2021.7.3,6
2021.7.4,396000
2021.7.5,396000
2021.7.6,456000
2021.7.7,396000
2021.7.8,396000
2021.7.9,8
2021.7.10,2
2021.7.11,396000
2021.7.12,396000
2021.7.13,8
2021.7.14,10
2021.7.15,9
2021.7.16,396000
2021.7.17,6
2021.7.18,4
2021.7.19,396000
2021.7.20,396000
2021.7.21,456000
2021.7.22,396000
2021.7.23,396000
2021.7.24,7
2021.7.25,2
2021.7.26,663000
2021.7.27,6
2021.7.28,663000
2021.7.29,663000
2021.7.30,663000
2021.7.31,5
2021.8.1,669000
2021.8.2,669000
2021.8.3,663000
2021.8.4,669000
2021.8.5,652000
2021.8.6,10
2021.8.7,9
2021.8.8,8
2021.8.9,663000
2021.8.10,663000
2021.8.11,663000
2021.8.12,663000
2021.8.13,663000
2021.8.14,5
2021.8.15,663000
2021.8.16,663000
2021.8.17,669000
2021.8.18,663000
2021.8.19,663000
2021.8.20,669000
2021.8.21,8
2021.8.22,5
2021.8.23,10
2021.8.24,663000
2021.8.25,10
2021.8.26,663000
2021.8.27,10
2021.8.28,663000
2021.8.29,4
2021.8.30,663000
2021.8.31,663000
2021.9.1,706000
2021.9.2,669000
2021.9.3,706000
2021.9.4,3
2021.9.5,4
2021.9.6,1200000
2021.9.7,10
2021.9.8,1310000
2021.9.9,1310000
2021.9.10,1200000
2021.9.11,5
2021.9.12,4
2021.9.13,1200000
2021.9.14,1200000
2021.9.15,1200000
2021.9.16,1200000
2021.9.17,1310000
2021.9.18,7
2021.9.19,8
2021.9.20,1310000
2021.9.21,6
2021.9.22,1310000
2021.9.23,1330000
2021.9.24,1330000
2021.9.25,9
2021.9.26,8
2021.9.27,1310000
2021.9.28,1310000
2021.9.29,1200000
2021.9.30,1290000
2021.10.1,1290000
2021.10.2,7
2021.10.3,9
2021.10.4,1310000
2021.10.5,1310000
2021.10.6,1310000
2021.10.7,1290000
2021.10.8,1310000
2021.10.9,7
2021.10.10,10
2021.10.11,10
2021.10.12,1290000
2021.10.13,1310000
2021.10.14,1310000
2021.10.15,1310000
2021.10.16,7
2021.10.17,8
2021.10.18,1830000
2021.10.19,1830000
2021.10.20,1840000
2021.10.21,1840000
2021.10.22,1840000
2021.10.23,4
2021.10.24,6
2021.10.25,10
2021.10.26,1840000
2021.10.27,9
2021.10.28,1840000
2021.10.29,2140000
2021.10.30,1830000
2021.10.31,6
2021.11.1,2140000
2021.11.2,7
2021.11.3,1840000
2021.11.4,10
2021.11.5,1840000
2021.11.6,6
2021.11.7,1840000
2021.11.8,1840000
2021.11.9,10
2021.11.10,1830000
2021.11.11,1830000
2021.11.12,2140000
2021.11.13,6
2021.11.14,1830000
2021.11.15,1830000
2021.11.16,1830000
2021.11.17,1830000
2021.11.18,1830000
2021.11.19,1830000
2021.11.20,3
2021.11.21,9
2021.11.22,10
2021.11.23,1830000
2021.11.24,1830000
2021.11.25,1830000
2021.11.26,10
2021.11.27,6
2021.11.28,5
2021.11.29,2310000
2021.11.30,5
2021.12.1,2310000
2021.12.2,2310000
2021.12.3,2670000
2021.12.4,10
2021.12.5,5
2021.12.6,2670000
2021.12.7,21500
2021.12.8,21400
2021.12.9,38100
2021.12.10,15500
2021.12.11,15500
2021.12.12,15500
2021.12.13,36400
2021.12.14,21000
2021.12.15,21000
2021.12.16,21000
2021.12.17,37500
2021.12.18,16600
2021.12.19,16600
2021.12.20,16600
2021.12.21,16800
2021.12.22,25100
2021.12.23,25100
2021.12.24,25100
2021.12.25,25100
2021.12.26,48000
2021.12.27,22900
2021.12.28,22900
2021.12.29,22900
2021.12.30,43900
2021.12.31,21000
