date,Search
2021.1.1,9
2021.1.2,3
2021.1.3,4
2021.1.4,8
2021.1.5,220000
2021.1.6,220000
2021.1.7,220000
2021.1.8,220000
2021.1.9,3
2021.1.10,220000
2021.1.11,220000
2021.1.12,220000
2021.1.13,220000
2021.1.14,220000
2021.1.15,220000
2021.1.16,220000
2021.1.17,220000
2021.1.18,220000
2021.1.19,220000
2021.1.20,220000
2021.1.21,220000
2021.1.22,220000
2021.1.23,220000
2021.1.24,220000
2021.1.25,220000
2021.1.26,220000
2021.1.27,7
2021.1.28,8
2021.1.29,220000
2021.1.30,8
2021.1.31,8
2021.2.1,10
2021.2.2,220000
2021.2.3,220000
2021.2.4,220000
2021.2.5,220000
2021.2.6,220000
2021.2.7,7
2021.2.8,6
2021.2.9,10
2021.2.10,88100
2021.2.11,88100
2021.2.12,7
2021.2.13,6
2021.2.14,7
2021.2.15,88100
2021.2.16,88100
2021.2.17,88100
2021.2.18,88100
2021.2.19,88100
2021.2.20,4
2021.2.21,10
2021.2.22,88100
2021.2.23,88100
2021.2.24,88100
2021.2.25,88100
2021.2.26,88100
2021.2.27,8
2021.2.28,122000
2021.3.1,88100
2021.3.2,88100
2021.3.3,88100
2021.3.4,88100
2021.3.5,88100
2021.3.6,2
2021.3.7,88100
2021.3.8,9
2021.3.9,88100
2021.3.10,88100
2021.3.11,10
2021.3.12,88100
2021.3.13,5
2021.3.14,88100
2021.3.15,88100
2021.3.16,88100
2021.3.17,88100
2021.3.18,88100
2021.3.19,88100
2021.3.20,9
2021.3.21,9
2021.3.22,2
2021.3.23,299000
2021.3.24,299000
2021.3.25,299000
2021.3.26,299000
2021.3.27,6
2021.3.28,9
2021.3.29,299000
2021.3.30,299000
2021.3.31,299000
2021.4.1,299000
2021.4.2,299000
2021.4.3,7
2021.4.4,6
2021.4.5,299000
2021.4.6,299000
2021.4.7,299000
2021.4.8,299000
2021.4.9,299000
2021.4.10,8
2021.4.11,10
2021.4.12,10
2021.4.13,299000
2021.4.14,299000
2021.4.15,299000
2021.4.16,299000
2021.4.17,298000
2021.4.18,9
2021.4.19,299000
2021.4.20,299000
2021.4.21,299000
2021.4.22,299000
2021.4.23,299000
2021.4.24,5
2021.4.25,5
2021.4.26,9
2021.4.27,299000
2021.4.28,9
2021.4.29,299000
2021.4.30,299000
2021.5.1,8
2021.5.2,5
2021.5.3,110000
2021.5.4,110000
2021.5.5,110000
2021.5.6,110000
2021.5.7,110000
2021.5.8,9
2021.5.9,7
2021.5.10,9
2021.5.11,110000
2021.5.12,9
2021.5.13,110000
2021.5.14,110000
2021.5.15,110000
2021.5.16,110000
2021.5.17,110000
2021.5.18,110000
2021.5.19,110000
2021.5.20,110000
2021.5.21,110000
2021.5.22,110000
2021.5.23,110000
2021.5.24,114000
2021.5.25,114000
2021.5.26,114000
2021.5.27,114000
2021.5.28,110000
2021.5.29,7
2021.5.30,8
2021.5.31,110000
2021.6.1,110000
2021.6.2,8
2021.6.3,114000
2021.6.4,114000
2021.6.5,8
2021.6.6,9
2021.6.7,110000
2021.6.8,110000
2021.6.9,114000
2021.6.10,110000
2021.6.11,10
2021.6.12,10
2021.6.13,0
2021.6.14,290000
2021.6.15,346000
2021.6.16,356000
2021.6.17,356000
2021.6.18,356000
2021.6.19,6
2021.6.20,8
2021.6.21,298000
2021.6.22,298000
2021.6.23,356000
2021.6.24,298000
2021.6.25,298000
2021.6.26,5
2021.6.27,4
2021.6.28,298000
2021.6.29,298000
2021.6.30,298000
2021.7.1,298000
2021.7.2,8
2021.7.3,6
2021.7.4,298000
2021.7.5,298000
2021.7.6,298000
2021.7.7,298000
2021.7.8,298000
2021.7.9,8
2021.7.10,7
2021.7.11,10
2021.7.12,298000
2021.7.13,298000
2021.7.14,298000
2021.7.15,9
2021.7.16,298000
2021.7.17,4
2021.7.18,4
2021.7.19,298000
2021.7.20,298000
2021.7.21,298000
2021.7.22,298000
2021.7.23,9
2021.7.24,9
2021.7.25,2
2021.7.26,982000
2021.7.27,9
2021.7.28,982000
2021.7.29,982000
2021.7.30,10
2021.7.31,10
2021.8.1,982000
2021.8.2,982000
2021.8.3,947000
2021.8.4,947000
2021.8.5,982000
2021.8.6,10
2021.8.7,5
2021.8.8,5
2021.8.9,9
2021.8.10,1020000
2021.8.11,982000
